stationid,x,y
ADTR0100,22.7189854218603,39.8937267412961
AXTR0100,22.6744194519131,39.5339860716267
EVTR0400,22.5143874309387,39.833870904479
EVTR0800,22.5162362648109,39.8324039803844
EVTR0700,22.5184028794556,39.8332099565248
EVTR1000,22.5171934194067,39.8348522041224
EVTR0100,22.5149185832564,39.8467380692892
EVTR0200,22.5064489021431,39.8390170527152
KLTR0100,22.6814311536823,39.9647460894834
KUTR0100,22.6872229961205,39.931673055044
KXTR0100,22.2457290713823,39.616164774206
MSTR0100,22.7083392923978,39.9503549089656
OMTR0100,22.6387936432298,39.8944961344977
OMTR0200,22.6470035666843,39.893978373249
OCTR0100,22.4788745313271,39.6756183025533
PLTR0100,22.5350859796889,39.6265543328726
STTR0100,22.7374922202245,39.8671736408852
SOTR0100,22.7374922202245,39.8671736408852
SOTR0100,22.7101602717504,39.5049147625127
KCTR0100,22.5150924905093,39.7775601232259
PTTR0100,23.4403157297343,39.1430177226128
SKTR0100,23.5043932305292,39.1739908489434
AYTR0100,22.7672936120117,39.1812163355553
KKTR0100,23.3977651590109,39.1513046941529
AATR0100,22.9963180134095,39.3494034077374
VOTR0200,22.9646935144981,39.350672630221
VOTR0100,22.9272321071363,39.3557878407947
SUTR0100,22.8921051723849,39.1089499475968
SVTR0100,22.7462579103558,39.4623885535367
AXTR0100,22.6744194519132,39.5339860716268
EVTR0600,22.5166380786634,39.8358766407633
MSTR0100,22.7083392923979,39.9503549089656
STTR0100,22.7374922202246,39.8671736408852
ALTR0100,22.5555940034971,39.8542305675143
ELTR0100,22.5809812720556,39.6768227873055
KATR0100,22.7454645803178,39.5708477168497
KLTR0100,22.6814311536824,39.9647460894835
LATR1200,22.4441135435226,39.6295083946646
LATR1800,22.423844381376,39.6326357798265
LATR1200,22.4441135435226,39.6295083946647
LATR1700,22.4373128180652,39.6456759834679
METR0100,22.6082429364805,39.5665700519342
MSTR0200,22.6983762430639,39.9548120075577
PPTR0100,22.681534223251,39.9170650308264
AFTR0100,22.4370827114404,39.6377171119149
AGTR0100,21.8965476402516,39.4631271800193
AMTR0100,22.352677776611,39.7476665180766
AMTR0200,22.3633342720792,39.7447549943963
BOTR0100,22.2448183223605,39.4999757552096
BOTR0200,22.2437886893749,39.5050488220134
BTTR0100,22.3767897114157,39.7646957165999
BTTR0200,22.3741520941257,39.7616321389528
BTTR0300,22.3780553787946,39.7632424220464
BTTR0400,22.4013721422911,39.7710517537954
DETR0100,22.3377239735443,39.6906870086363
DNTR0100,22.3871525009228,39.3385792202655
DOTR0100,22.1202181787009,39.79216427879
DRTR0100,22.419940189396,39.6922066309303
EETR0100,22.0786776392583,39.6881406594231
ERTR0100,22.4008971208428,39.6612656979959
ERTR0200,22.400491,39.656975
FATR0100,22.3870947434581,39.7102860322117
FATR0200,22.4008964002132,39.7185268440144
FRTR0200,22.3853494808205,39.2925699313415
GNTR0100,22.390979515411,39.674218932191
GNTR0300,22.3734268663069,39.7038192235818
KPTR0100,22.4593272391855,39.9670686781358
KSTR0100,22.681144394446,39.6257195377217
LATR0100,22.4271086118423,39.6365903393498
LATR0600,22.4095786657124,39.6229785092666
LATR0700,22.4143106720592,39.6313925882247
LATR0800,22.436365768409,39.653996720881
LATR1000,22.4290559990526,39.6097628772493
LATR1300,22.4222499739608,39.6259200328531
LATR1400,22.4365305528044,39.6175855987921
LATR1500,22.3992355495819,39.6264511975063
LATR1600,22.4130738879857,39.6250929361021
LATR0900,22.434781506945,39.6422083207954
MDTR0100,22.5937495954539,39.5726893433609
MHTR0100,21.8357784285747,39.3414891476923
MHTR0200,21.8363936703733,39.3392650777022
MLTR0100,22.4991704350623,39.6297248488007
MTTR0100,22.0681643486022,39.3883267058274
MTTR0200,22.0699617639183,39.3978493250609
MTTR0300,22.0769438892602,39.3975873875034
NITR0100,22.4561773279896,39.5613857032116
NOTR0100,22.4206593327884,39.6422729384777
NOTR0200,22.4221628799265,39.6421287405856
OSTR0100,22.5760109011318,39.7472108586267
PNTR0100,22.3094652457578,39.6796178322261
SFTR0100,22.0993687112347,39.3298361145452
SFTR0200,22.0952824214447,39.3330700007396
SVTR0100,22.2427811324428,39.3178408184476
TRTR0100,21.7583864836817,39.5646077753539
TRTR0200,21.778076253633,39.5636285151397
TSTR0100,22.2286303792259,39.8817098215329
TSTR0200,22.2284112341428,39.8811954422168
TVTR0100,22.2825072631481,39.7324535601149
TVTR0200,22.2792421607204,39.7350414672323
TVTR0300,22.2864578755757,39.7366048166748
VLTR0100,22.7447298464233,39.3828575710176
VOTR0300,22.8662214817417,39.3812272140834
NATR0100,22.8158476548035,39.2731224383437
